Linha ID;ID Pedido;Data do Pedido;Data do Envio;Mode de Envio;ID Vendedor;Nome do Vendedor;Segmento;Pais;Cidade;Estado;Codigo Postal;Região;Produto ID;Categoria;Sub-Categoria;Nome do Produto;Valor venda;Quantidade;Desconto;Lucro;Ano;Mes;Dia;Envio Dias;Valor Unitario;Margem
1;CA-2013-152156;2013-11-09;2013-11-12;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261,96;2,0;0,0;41,91;2013;11;9;3;130,98;0,16
2;CA-2013-152156;2013-11-09;2013-11-12;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731,94;3,0;0,0;219,58;2013;11;9;3;243,98;0,3
3;CA-2013-138688;2013-06-13;2013-06-17;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2,0;0,0;6,87;2013;6;13;4;7,31;0,47
4;US-2012-108966;2012-10-11;2012-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;957,58;5,0;45,0;-383,03;2012;10;11;7;191,52;-0,4
5;US-2012-108966;2012-10-11;2012-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22,37;2,0;20,0;2,52;2012;10;11;7;11,18;0,11
6;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48,86;7,0;0,0;14,17;2011;6;9;5;6,98;0,29
7;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;7,28;4,0;0,0;1,97;2011;6;9;5;1,82;0,27
8;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907,15;6,0;20,0;90,72;2011;6;9;5;151,19;0,1
9;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18,5;3,0;20,0;5,78;2011;6;9;5;6,17;0,31
10;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114,9;5,0;0,0;34,47;2011;6;9;5;22,98;0,3
11;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1706,18;9,0;20,0;85,31;2011;6;9;5;189,58;0,05
12;CA-2011-115812;2011-06-09;2011-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911,42;4,0;20,0;68,36;2011;6;9;5;227,86;0,08
13;CA-2014-114412;2014-04-16;2014-04-21;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15,55;3,0;20,0;5,44;2014;4;16;5;5,18;0,35
14;CA-2013-161389;2013-12-06;2013-12-11;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407,98;3,0;20,0;132,59;2013;12;6;5;135,99;0,32
15;US-2012-118983;2012-11-22;2012-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81;5,0;80,0;-123,86;2012;11;22;4;13,76;-1,8
16;US-2012-118983;2012-11-22;2012-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2,54;3,0;80,0;-3,82;2012;11;22;4;0,85;-1,5
17;CA-2011-105893;2011-11-11;2011-11-18;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88;6,0;0,0;13,32;2011;11;11;7;110,98;0,02
18;CA-2011-167164;2011-05-13;2011-05-15;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55,5;2,0;0,0;9,99;2011;5;13;2;27,75;0,18
19;CA-2011-143336;2011-08-27;2011-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;8,56;2,0;0,0;2,48;2011;8;27;5;4,28;0,29
20;CA-2011-143336;2011-08-27;2011-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213,48;3,0;20,0;16,01;2011;8;27;5;71,16;0,07
21;CA-2011-143336;2011-08-27;2011-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22,72;4,0;20,0;7,38;2011;8;27;5;5,68;0,32
22;CA-2013-137330;2013-12-10;2013-12-14;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19,46;7,0;0,0;5,06;2013;12;10;4;2,78;0,26
23;CA-2013-137330;2013-12-10;2013-12-14;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60,34;7,0;0,0;15,69;2013;12;10;4;8,62;0,26
24;US-2014-156909;2014-07-17;2014-07-19;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71,37;2,0;30,0;-1,02;2014;7;17;2;35,69;-0,01
25;CA-2012-106320;2012-09-25;2012-09-30;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044,63;3,0;0,0;240,26;2012;9;25;5;348,21;0,23
26;CA-2013-121755;2013-01-16;2013-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11,65;2,0;20,0;4,22;2013;1;16;4;5,82;0,36
27;CA-2013-121755;2013-01-16;2013-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57;3,0;0,0;11,77;2013;1;16;4;30,19;0,13
28;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43;7,0;50,0;-1665,05;2012;9;17;4;440,49;-0,54
29;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9,62;2,0;70,0;-7,05;2012;9;17;4;4,81;-0,73
30;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2;3,0;20,0;15,52;2012;9;17;4;41,4;0,12
31;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3,26;2,0;20,0;1,1;2012;9;17;4;1,63;0,34
32;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,3;6,0;20,0;9,71;2012;9;17;4;14,38;0,11
33;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,86;6,0;70,0;-5,72;2012;9;17;4;1,14;-0,83
34;US-2012-150630;2012-09-17;2012-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15,76;2,0;20,0;3,55;2012;9;17;4;7,88;0,23
